Compound_No,SMILES,Value,FP_12,FP_13,FP_50,FP_336,FP_481,FP_516,FP_653,FP_880,FP_1188,FP_1192,FP_1540,FP_1673,FP_1713,FP_1893,FP_2037,PubchemFP259,PubchemFP308,PubchemFP548,PubchemFP617,PubchemFP639,APC2D1_C_C,APC2D1_C_N,APC2D1_C_O,APC2D2_C_N,APC2D2_C_O,APC2D3_C_C,APC2D3_C_N,APC2D3_C_O,APC2D3_C_S,APC2D4_C_N,APC2D4_C_O,APC2D4_C_S,APC2D5_C_C,APC2D5_C_N,APC2D5_C_O,APC2D5_C_S,APC2D5_N_O,APC2D6_C_N,APC2D7_C_C,APC2D7_C_N,APC2D7_C_O,APC2D7_C_X,APC2D7_O_O,APC2D8_C_O,APC2D9_C_C,APC2D9_C_N,APC2D9_C_O,APC2D9_N_N,APC2D10_C_N,APC2D10_C_S,APC2D10_N_O
1,CCn1cc(CCC(CC(=O)O)c2ccc(C)c(CN3C[C@H](C)Cc4ccccc4S3(=O)=O)c2)nn1,7.26,1,0,0,1,0,1,1,0,0,1,1,0,1,0,0,1,1,0,1,0,26,5,2,10,4,35,11,10,5,9,14,4,34,7,14,3,0,9,32,10,10,0,0,6,26,6,8,1,3,1,0
2,CN(Cc1cc(C(CC(=O)O)c2ccc3c(c2)nnn3C)ccc1Cl)S(C)(=O)=O,7.26,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,1,0,1,0,17,5,2,9,4,27,9,6,1,7,6,2,23,6,12,2,0,9,12,11,10,3,0,4,7,5,10,1,1,1,0
3,CCOc1ccc(S(=O)(=O)Nc2cc(CCCC(=O)O)c(NS(=O)(=O)c3ccc(OCC)cc3)c3ccccc23)cc1,6.82,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,1,1,0,29,2,6,6,12,32,11,18,8,12,20,9,35,6,20,8,0,2,43,5,18,0,0,16,29,4,19,0,2,4,0
4,Cc1ccc(C(Cc2nnn[nH]2)c2ccc3c(nnn3C)c2C)cc1CN1C[C@@H](C)Oc2ccccc2S1(=O)=O,7.26,1,0,0,1,0,1,0,0,0,0,1,0,1,1,0,1,0,1,0,0,27,7,2,14,6,41,17,10,4,18,10,4,41,19,9,3,0,27,33,27,7,0,0,6,25,12,8,7,11,1,4
5,COc1ccc(S(=O)(=O)N(CC(=O)O)c2ccc(N(CC(=O)O)S(=O)(=O)c3ccc(OC)cc3)c(OCc3cccnc3)c2)cc1,6.12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,25,6,10,10,15,29,10,24,10,7,29,6,41,5,28,3,0,7,34,11,30,0,2,27,36,8,29,0,6,5,4
6,Cc1ccc(C(CC(=O)OCC2CCNC2)c2ccc3c(nnn3C)c2C)cc1CN1CCN(C)c2ccccc2S1(=O)=O,5.26,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,30,10,3,15,5,46,15,13,4,15,14,4,46,9,18,3,0,12,46,15,10,0,0,6,43,16,10,1,16,2,0
7,COc1cc(C(CC(=O)O)c2ccc(C)c(CN3C(C)COc4ccccc4S3(=O)=O)c2)cc2nnn(C)c12,6.26,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,1,1,0,26,5,6,11,9,40,11,15,5,11,19,3,41,9,17,3,0,9,33,11,15,0,2,12,27,6,13,1,4,1,0
8,COc1cc(C(CC(=O)O)c2ccc(Cl)c(CN3C[C@@H](C)Oc4ccccc4S3(=O)=O)c2)cc2nnn(C)c12,7.26,1,0,0,1,0,1,1,0,0,1,1,0,1,0,0,1,1,1,1,0,25,5,6,10,10,37,12,14,4,10,17,4,38,9,19,2,0,9,28,11,14,6,2,10,24,5,12,1,2,1,0
9,CCn1ccc(C(CC(=O)O)c2ccc(C)c(CN3C[C@@H](C)Oc4ccccc4S3(=O)=O)c2)cc1=O,7.26,1,0,0,1,0,1,1,0,0,1,1,0,1,0,0,0,1,1,1,0,25,5,5,6,9,39,6,15,4,6,17,4,36,5,19,3,0,5,32,5,13,0,2,12,25,1,13,1,2,0,0
10,Cc1ccc(C(CC(=O)O)c2ccc3c(c2)C(=O)CC3)cc1CN1C[C@@H](C)Oc2ccccc2S1(=O)=O,7.26,1,0,0,1,0,1,1,0,0,1,1,0,1,1,0,1,1,1,1,0,30,2,5,3,10,42,5,15,4,5,16,4,40,3,19,3,0,2,37,3,18,0,0,14,27,2,12,0,2,2,1
11,CCOc1ccc(S(=O)(=O)Nc2cc(CC(C)=O)c(NS(=O)(=O)c3ccc(OCC)cc3)c3ccccc23)cc1,5.21,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,28,2,5,6,12,31,11,17,8,12,20,9,33,6,20,8,1,1,41,4,17,0,2,14,25,4,15,0,2,4,0
12,CC[C@@H]1CN(Cc2cc(C(CC(=O)O)c3cc(OC)c4c(c3)nnn4C)ccc2C)S(=O)(=O)c2cccnc2O1,7.26,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,1,1,1,1,0,25,7,6,12,9,39,14,15,3,13,15,4,41,11,19,4,0,10,35,13,15,0,2,12,26,8,13,1,6,1,0
13,COc1ccc(S(=O)(=O)Nc2cc(CC(C)=O)c(NS(=O)(=O)c3ccc(OC)cc3)c3ccccc23)cc1,5.49,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,26,2,5,6,10,29,11,17,8,12,20,9,29,6,20,8,1,1,41,4,17,0,2,10,23,4,15,0,2,4,0
14,CCN1CCN(Cc2cc(C(CC(=O)O)c3ccc4c(nnn4CC)c3C)ccc2C)S(=O)(=O)c2cccnc21,7.26,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0,26,10,2,16,4,43,18,10,3,17,10,4,43,10,16,4,0,12,32,16,10,0,0,6,29,10,10,1,8,1,0
15,CC(=O)c1ccc(C(CC(=O)O)c2ccc(C)c(CN3C[C@@H](C)Oc4ccccc4S3(=O)=O)c2)c(C)c1,7.26,1,0,0,1,0,1,1,0,0,1,1,0,1,1,0,1,1,1,1,0,29,2,5,3,10,43,5,14,4,5,16,4,42,3,19,3,0,2,36,3,15,0,0,13,27,1,14,0,1,1,0
16,Cc1ccc(C(CC(=O)O)c2ccn(C)c(=O)c2)cc1CN1C[C@@H](C)Oc2ncccc2S1(=O)=O,7.26,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,1,1,0,22,7,5,7,8,35,8,15,3,7,14,4,34,6,19,3,0,6,28,7,13,0,2,12,21,3,11,1,4,0,0
17,COc1ccc(S(=O)(=O)N(CC(=O)O)c2ccc(N(CC(=O)O)S(=O)(=O)c3ccc(OC)cc3)c(N(C)Cc3ccccc3)c2)cc1,5.21,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,27,7,8,11,12,34,12,20,10,12,26,6,46,9,24,4,2,9,40,14,30,0,0,26,42,6,30,0,3,5,1
18,CC[C@@H]1CN(Cc2cc(C(CC(=O)O)c3cc(CCCN(C)C)c(F)cc3C)ccc2C)S(=O)(=O)c2ccccc2O1,7.26,1,0,0,1,0,1,1,0,0,1,1,0,1,0,0,1,1,1,1,0,31,5,4,4,8,47,6,13,4,7,14,4,51,5,17,4,0,4,46,5,15,5,0,10,36,5,12,0,3,2,2
19,Cc1ccc([C@@H](NC(=O)Cc2ccc(Cc3cc(C)ccn3)cc2)[C@@H](C)C(=O)O)cc1.Cl,6.66,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,26,4,3,6,3,32,7,6,0,7,6,0,27,5,12,0,0,3,27,2,6,0,0,8,18,1,5,1,3,0,0
20,CC[C@@H]1CN(Cc2cc([C@H](c3ccc4c(nnn4C)c3C)C(C)(C)C(=O)O)ccc2C)S(=O)(=O)c2ccccc2O1,6.26,1,0,0,1,1,1,0,0,0,1,1,0,1,1,0,1,1,1,1,0,30,5,4,10,8,46,13,17,4,13,14,4,54,7,17,4,0,11,38,17,13,0,0,8,31,6,16,1,3,1,0
21,Cc1ccc(C(CC(=O)O)c2ccc3c(c2)nnn3C)cc1CN1C[C@@H](C)Oc2ccc(C(N)=O)cc2S1(=O)=O,7.26,0,0,0,1,0,1,1,0,0,1,1,0,1,1,0,1,1,1,1,0,27,6,5,11,9,40,14,14,4,12,16,5,37,9,21,3,0,9,33,14,16,0,0,10,27,8,14,1,6,1,0
22,Cc1ccc([C@@H](c2ccc3c(nnn3C)c2C)C(C)C(=O)O)cc1CN1CCN(C)c2ccccc2S1(=O)=O,6.26,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,27,8,2,13,4,45,14,12,4,15,12,4,45,8,16,3,0,12,33,17,10,0,0,6,27,8,12,1,7,1,0
23,CCC1CN(C(C)c2cc(C(CC(=O)O)c3ccc4c(nnn4CC)c3C)ccc2C)S(=O)(=O)c2ccccc2O1,7.26,1,0,0,0,0,1,0,0,0,1,1,0,1,1,0,1,1,1,1,0,30,5,4,12,8,46,14,13,5,14,16,4,51,7,18,4,0,9,41,11,13,0,0,10,31,7,12,1,5,1,0
24,CC(=O)N1CCC(c2c(C(=O)O)cnn2-c2cccc(-c3cccc(C(=O)N(C)C)c3)c2)CC1,5.46,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,0,23,9,4,12,4,35,12,10,0,11,6,0,36,9,9,0,0,10,28,10,7,0,0,10,22,5,9,1,7,0,0
25,O=S(=O)(CCCCN=C=S)c1ccccn1,4.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,3,4,6,3,4,4,2,6,3,6,1,4,1,0,2,4,1,2,0,0,0,2,1,0,0,0,2,0
26,COc1ccc(S(=O)(=O)Nc2ccc(N(CC(N)=O)S(=O)(=O)c3ccc(OC)cc3)c3ccccc23)cc1,7.59,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,24,4,5,8,9,28,10,18,9,11,21,8,32,7,19,6,2,6,32,10,16,0,0,9,19,4,12,0,4,4,2
27,Cc1cc(C)c(S(=O)(=O)N(CC(=O)O)c2ccc(OC(C(=O)O)c3ccc(Cl)cc3)c3ccccc23)c(C)c1,6.72,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,1,1,0,29,2,6,4,10,37,5,15,7,7,27,4,41,2,24,4,1,2,42,2,24,1,2,10,23,2,14,0,1,2,0
28,Cc1ccc(C(CC(=O)O)c2ccc(F)cc2F)cc1CN1C[C@@H](C)Oc2ccccc2S1(=O)=O,7.26,1,0,0,1,0,1,1,0,0,1,1,0,1,1,0,1,1,1,1,0,26,2,4,3,8,36,5,12,4,5,14,4,36,3,17,3,0,2,29,3,13,5,0,8,22,1,10,0,0,1,0
29,COc1cccc(C(CC(=O)O)c2ccc(C)c(CN3C[C@@H](C)Oc4ccccc4S3(=O)=O)c2)c1C,6.26,1,0,1,1,0,1,0,0,0,1,1,0,1,0,0,1,1,1,1,0,27,2,6,3,10,41,5,15,4,5,16,4,41,3,19,3,0,2,34,3,15,0,2,12,25,1,11,0,1,1,0
30,COc1ccc(S(=O)(=O)N(CC(=O)O)c2ccc(N(CC(=O)O)S(=O)(=O)c3ccc(OC)cc3)c(OCc3ccc(-c4ccccc4)cc3)c2)cc1,6.41,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,34,4,10,8,15,42,8,24,10,7,30,6,51,4,28,3,0,5,40,10,32,0,2,29,47,6,32,0,5,6,0
31,CC(C)(C)OC(=O)N1CCC(SC(=S)NCCCCNC(=O)Nc2ccc3ncsc3c2)CC1,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,16,11,4,8,3,19,11,7,7,12,10,5,17,7,5,6,0,5,15,3,3,0,0,1,12,7,2,0,10,6,0
32,Cc1ccc(C(CC(=O)OCOC(=O)C(C)(C)C)c2ccc3c(nnn3C)c2C)cc1CN1CCN(C)c2ccccc2S1(=O)=O,4.26,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,30,8,6,13,6,45,14,20,4,15,14,4,44,8,22,3,0,11,43,14,18,0,0,13,41,11,17,1,7,2,3
33,CC[C@@H]1CN(Cc2cc([C@@H](c3ccc4c(nnn4C)c3C)C(C)(C)C(=O)O)ccc2C)S(=O)(=O)c2ccccc2O1,7.26,1,0,0,1,1,1,0,0,0,1,1,0,1,1,0,1,1,1,1,0,30,5,4,10,8,46,13,17,4,13,14,4,54,7,17,4,0,11,38,17,13,0,0,8,31,6,16,1,3,1,0
34,CC[C@@H]1CN(Cc2cc(C(CC(=O)O)c3cc(CCN(C)C)c(F)cc3C)ccc2C)S(=O)(=O)c2ccccc2O1,7.26,1,0,0,1,0,1,1,0,0,1,1,0,1,0,0,1,1,1,1,0,30,5,4,4,8,46,6,13,4,8,14,4,51,5,17,4,0,4,43,6,15,3,0,10,34,4,10,0,3,2,0
35,COc1ccc(S(=O)(=O)N(CC(=O)O)c2ccc(N(CC(=O)O)S(=O)(=O)c3ccc(OC)cc3)c(OS(=O)(=O)c3ccccc3)c2)cc1,6.36,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,26,4,9,8,17,27,8,30,14,6,38,9,40,3,34,4,2,5,32,10,32,0,6,33,36,5,39,0,2,6,0
36,O=C(NCCCCN=C=S)Nc1ccc2nccnc2c1,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,10,1,10,0,12,10,2,1,8,3,1,8,5,3,1,0,6,8,2,1,0,0,2,6,4,0,0,4,1,0
37,CC(C)(C)OC(=O)N1CCC(SC(=S)NCCCCNC(=O)NCc2ccccc2)CC1,5.1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,9,4,5,3,18,9,7,5,11,9,4,17,7,5,5,0,5,15,3,3,0,0,1,13,5,2,0,9,5,0
38,COc1cc(C(CC(=O)O)c2ccc(C)c(CN3C[C@@H](C)Oc4ccncc4S3(=O)=O)c2)cc2nnn(C)c12,7.26,0,0,0,1,0,1,1,0,0,1,1,0,1,0,0,1,1,1,1,0,24,7,6,12,10,39,13,14,3,10,14,4,37,12,19,3,0,11,32,13,15,0,2,12,24,8,13,1,6,1,0
39,COc1ncccc1S(=O)(=O)N(CCO)Cc1cc(C(CC(=O)O)c2ccc3c(nnn3C)c2C)ccc1C,5.26,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,0,24,7,5,12,6,37,14,12,3,11,12,4,38,10,20,3,0,11,31,13,16,0,1,13,24,8,14,1,5,1,0
40,CN(C)C(=O)c1cccc(-c2cccc(-n3ncc(C(=O)O)c3C3CC3c3cn(C)nn3)c2)c1,7.39,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,1,1,0,23,9,3,15,3,31,16,8,0,14,4,0,34,11,8,0,0,12,25,15,8,0,0,5,20,9,7,1,11,0,0
41,COc1ccc(S(=O)(=O)N(CC(F)F)c2cnc(N(CC(=O)O)S(=O)(=O)c3ccc(OC)cc3)c3ccccc23)cc1,7.26,1,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,0,0,23,6,6,9,10,29,12,20,9,15,22,7,37,9,18,6,4,6,32,9,22,10,0,13,23,5,15,0,3,4,0
42,COc1ccc(S(=O)(=O)N(CC(=O)O)c2ccc(OC(C(=O)O)c3ccccc3)c3ccccc23)cc1,5.64,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,26,2,8,4,12,33,5,17,5,5,24,4,38,2,24,3,1,1,34,3,24,0,2,13,21,2,13,0,1,2,0
43,O=C(NCCCCN=C=S)OCc1ccccc1,4.9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,4,3,2,1,9,3,5,1,3,5,1,6,2,5,1,0,4,7,1,1,0,0,2,6,1,0,0,2,1,0
44,Cc1ccc(C(CC(=O)O)c2cc(CCN(C)C)c(F)cc2C)cc1CN1C[C@@H](C)Oc2ccccc2S1(=O)=O,7.26,1,0,0,1,0,1,1,0,0,1,1,0,1,0,0,1,1,1,1,0,29,5,4,4,8,45,6,12,4,7,14,4,48,5,17,3,0,4,40,6,15,3,0,10,32,4,10,0,3,2,0
45,Cc1ccc(C(CC(=O)O)c2ccc(C#N)cc2C)cc1CN1CC(C)Cc2cc(OC(F)(F)F)ccc2S1(=O)=O,7.26,0,0,0,1,0,1,1,0,0,1,1,0,1,1,0,1,1,1,1,0,30,3,4,4,6,45,8,12,5,7,16,4,43,5,17,3,0,3,39,6,13,3,0,9,28,3,10,0,3,1,0
46,Cc1ccc([C@@H](NC(=O)C(F)(F)c2ccccc2)[C@@H](C)C(=O)O)cc1,5.05,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,19,2,3,3,3,21,5,6,0,4,6,0,17,3,12,0,0,2,19,0,5,4,0,7,11,0,4,0,0,0,0
47,Cc1ccc(S(=O)(=O)N(CC(=O)O)c2ccc(N(CC(=O)O)S(=O)(=O)c3ccc(C)cc3)c(CCC(=O)O)c2)cc1,6.25,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,25,4,6,8,10,28,9,18,10,8,26,7,37,4,30,6,0,5,34,4,24,0,0,20,23,4,26,0,2,4,0
48,Cc1ccc(C(CC(=O)O)c2ccc3c(nnn3C)c2C)cc1CN1CCOc2ccncc2S1(=O)=O,7.26,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,1,1,0,24,7,4,12,7,39,13,12,3,11,11,3,35,10,15,3,0,10,28,13,13,0,0,8,21,8,12,1,5,1,0
49,CCCOc1cc(N(CC(=O)O)S(=O)(=O)c2ccc(OC)cc2)ccc1N(CC(=O)O)S(=O)(=O)c1ccc(OC)cc1,5.92,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,22,4,10,8,15,26,8,23,10,7,28,6,38,4,27,3,0,4,28,7,30,0,2,25,27,4,23,0,2,4,0
50,O=C(NCCCCN=C=S)Nc1ccc2c(c1)OCO2,5.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,9,6,5,4,4,10,6,6,1,6,5,1,6,4,4,1,1,4,7,1,2,0,1,3,5,2,2,0,2,1,0
51,CCCC1CCCCN1C(=O)c1cccc(-c2cccc(-n3ncc(C(=O)O)c3C3CC3c3cccnc3)c2)c1,6.66,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,0,33,8,3,14,3,44,15,8,0,12,7,0,48,10,10,0,0,10,42,11,10,0,0,7,36,5,7,1,10,0,0
52,CC[C@@H]1CN(Cc2cc(C(CC(=O)O)c3ccc(C#N)c(OC)c3)ccc2C)S(=O)(=O)c2ccccc2O1,7.26,1,0,0,1,0,1,1,0,0,1,1,0,1,1,0,1,1,1,1,0,28,3,6,4,10,41,7,16,4,8,16,4,42,5,19,4,0,3,38,5,15,0,2,14,28,3,11,0,4,1,0
53,O=C(O)CN(c1ccc(N(CC(=O)O)S(=O)(=O)c2ccc(Br)cc2)c2ccccc12)S(=O)(=O)c1ccc(Br)cc1,6.87,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,25,4,4,8,8,28,10,16,10,10,24,8,40,4,28,6,0,2,35,4,24,4,0,12,18,4,12,0,2,4,0
54,CC[C@@H]1CN(Cc2cc(C(CCc3cn(C(C)C)nn3)CC(=O)O)ccc2C)S(=O)(=O)c2cnccc2O1,7.26,0,0,0,1,0,1,1,0,0,1,1,0,1,0,0,1,1,1,1,0,24,7,4,13,8,34,12,13,3,10,11,4,34,10,15,4,0,11,30,13,13,0,0,8,27,8,10,1,5,1,0
55,Cc1cc(C)c(S(=O)(=O)N(CC(=O)O)c2ccc(OC(C(=O)O)c3ccc(C(F)(F)F)cc3)c3ccccc23)c(C)c1,5.92,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,1,1,0,30,2,6,4,10,39,5,15,7,7,27,4,42,2,24,4,1,2,43,2,26,3,2,10,26,2,14,0,1,2,0
56,[O-][S+](CCCCN=C=S)c1ccncc1,4.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,3,2,7,2,3,4,1,3,2,6,1,1,1,1,2,3,3,1,0,0,0,2,0,0,1,1,2,0
57,Cc1ccc(S(=O)(=O)N(CC(=O)O)c2ccc(N(CC(=O)O)S(=O)(=O)c3ccc(C)cc3)c(OCc3ccc4ccccc4c3)c2)cc1,6.42,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,1,0,0,34,4,6,8,11,40,8,20,10,7,28,6,44,4,29,5,0,7,44,8,23,0,2,21,45,8,32,0,5,8,0
58,Cc1ccc(C(CC(=O)OCCN(C)C)c2ccc3c(nnn3C)c2C)cc1CN1CCN(C)c2ccccc2S1(=O)=O,6.26,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,27,11,3,14,5,47,14,11,4,16,15,4,45,9,16,3,1,12,43,16,10,0,0,6,37,17,10,1,12,2,0
59,COc1cccc(S(=O)(=O)N(CC(=O)O)c2ccc(N(CC(=O)O)S(=O)(=O)c3cccc(OC)c3)c3ccccc23)c1,7.18,1,0,1,0,1,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0,25,4,8,8,12,32,10,20,10,10,26,8,42,4,28,8,2,4,39,4,30,0,0,18,24,4,22,0,2,4,2
60,Cc1ccc(C(CC(=O)O)c2ccc3c(c2)nnn3C)cc1CN1CC(C)Cc2cc(CCCNC(=O)OC(C)(C)C)ccc2S1(=O)=O,7.26,0,0,0,1,0,1,1,0,0,1,1,0,1,1,0,1,1,0,1,0,34,7,5,11,7,49,15,13,5,14,19,4,48,9,18,4,0,12,44,14,16,0,0,12,39,8,14,2,5,1,0
61,COc1ccc(S(=O)(=O)Nc2cnc(N(C(C)C(=O)O)S(=O)(=O)c3ccc(OC)cc3)c3ccccc23)cc1,5.64,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,23,5,6,9,10,26,12,20,9,15,22,7,33,8,18,6,4,5,31,9,21,0,0,11,20,5,13,0,3,4,0
62,Cc1ccc(C(CC(=O)O)c2ccc3c(nnn3C)c2C)cc1CN1CCCc2ccccc2S1(=O)=O,7.26,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,1,0,28,5,2,10,4,42,13,10,5,12,14,3,39,7,14,3,0,9,33,11,10,0,0,6,25,6,10,1,3,1,0
63,COc1ccc(S(=O)(=O)N(CC(=O)O)c2ccc(N(CC(=O)O)S(=O)(=O)c3ccc(OC)cc3)c(OCCN3CCOCC3)c2)cc1,5.6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,23,7,12,11,17,32,8,22,10,8,31,6,38,6,30,3,0,5,34,10,31,0,2,25,33,10,25,0,6,6,3
64,O=C(NCCCCN=C=S)NCc1ccccc1,4.8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,6,1,3,0,9,6,2,1,6,2,1,6,4,3,1,0,5,7,1,1,0,0,1,6,1,0,0,2,1,0
65,CCNC(=O)N1CCC(SC(=S)NCCCCNC(=O)NCc2ccccc2)CC1,4.2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,11,2,6,0,16,11,5,5,11,5,4,13,8,4,5,0,5,13,4,2,0,0,1,11,6,1,0,8,3,0
66,Cc1ccc(CC(=O)N[C@H](c2ccc(C)c(OCC(C)(C)F)c2)[C@@H](C)C(=O)O)cc1,6.57,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,23,2,5,3,6,26,5,11,0,4,8,0,27,3,13,0,1,3,27,2,7,2,3,11,21,0,9,0,0,0,0
67,O=C(NCCCCN=C=S)OCc1ccccc1Cl,5.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,4,3,2,1,9,3,5,1,3,5,1,6,2,5,1,0,4,7,1,1,1,0,2,6,1,0,0,2,1,0
68,COc1ccc(S(=O)(=O)N(CC(=O)O)c2cnc(N(CC(=O)O)S(=O)(=O)c3ccc(OC)cc3)c3ccccc23)cc1,7.21,1,0,0,0,1,0,0,0,1,0,0,1,1,1,1,1,1,1,0,0,23,6,8,9,12,29,12,20,9,15,24,7,37,9,24,6,4,6,32,9,32,0,0,17,23,5,17,0,3,4,0
69,COc1cc(C(CC(=O)O)c2cccc(CN3CC(C)Oc4ccccc4S3(=O)=O)c2)cc2nnn(C)c12,6.26,1,0,1,1,0,1,1,0,0,1,1,0,0,0,0,1,1,1,1,0,25,5,6,10,10,37,12,14,4,10,17,4,38,9,19,2,0,9,28,11,14,0,2,10,24,5,12,1,2,1,0
70,COc1cc(C(CC(=O)O)c2ccc(C)c(CN3CCOCCS3(=O)=O)c2)cc2nnn(C)c12,7.26,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,1,0,20,5,6,10,8,35,10,10,2,9,12,2,31,8,15,3,0,9,23,11,15,0,2,12,15,6,13,1,4,1,0
71,COc1ccc(S(=O)(=O)N(CC(=O)O)c2ccc(N(CC(=O)O)S(=O)(=O)c3ccc(OC)cc3)c(OCCCc3ccccc3)c2)cc1,6.02,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,29,4,10,8,15,34,8,23,10,7,29,6,42,4,29,3,0,4,36,8,31,0,2,25,40,8,25,0,5,8,0
72,CN(C)c1ccc(S(=O)(=O)Nc2ccc(NS(=O)(=O)c3ccc(N(C)C)cc3)c3ccccc23)cc1,6.72,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,23,8,0,10,4,28,14,12,8,12,16,8,24,4,16,6,0,0,30,8,12,0,0,0,19,10,4,0,8,4,0
73,CCn1cc(CCC(CC(=O)O)c2ccc(C)c(CN3CC(C)Oc4ncccc4S3(=O)=O)c2)nn1,7.26,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,1,1,1,1,0,22,7,4,12,7,31,12,12,3,10,12,4,32,8,15,3,0,10,27,12,13,0,0,8,22,8,10,1,5,1,0
74,O=C(O)[C@H]1NCCC[C@H]1C(=O)N1CCc2ccccc2[C@H]1CN1C(=O)c2ccccc2C1=O,4.16,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,24,8,5,10,5,35,9,14,0,12,17,0,30,10,9,0,5,8,36,6,17,0,2,12,24,3,14,0,2,0,0
75,Cc1ccc(CC(=O)N[C@H](c2ccc(C)cc2)[C@@H](C)C(=O)O)cc1,4.7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,20,2,3,3,3,23,5,6,0,4,6,0,18,3,12,0,0,2,19,1,6,0,0,7,13,0,4,0,0,0,0
76,COc1cc(C(CC(=O)O)c2ccc(C)c(CN3CC(C)Oc4ccccc4S3(=O)=O)c2)cc2nnn(C)c12,7.26,1,0,0,1,0,1,1,0,0,1,1,0,1,0,0,1,1,1,1,0,26,5,6,10,10,40,12,14,4,11,17,4,40,9,19,3,0,9,34,11,15,0,2,12,26,6,13,1,4,1,0
77,Cc1ccc(C(CC(=O)OCC(N)C(C)C)c2ccc3c(nnn3C)c2C)cc1CN1CCN(C)c2ccccc2S1(=O)=O,6.26,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,30,9,3,15,5,47,16,12,4,16,15,4,46,9,17,3,1,12,45,16,10,0,0,6,42,17,10,1,13,2,0
